,Trip ID,Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscriber Type,Zip Code
42,913381,346,8/31/2015 20:17,Yerba Buena Center of the Arts (3rd @ Howard),68,8/31/2015 20:23,Steuart at Market,74.0,284.0,Subscriber,94602
43,913380,776,8/31/2015 20:15,Market at Sansome,77,8/31/2015 20:28,San Francisco Caltrain (Townsend at 4th),70.0,29.0,Subscriber,94087
44,913379,803,8/31/2015 20:15,Spear at Folsom,49,8/31/2015 20:28,Townsend at 7th,65.0,607.0,Subscriber,94107
45,913375,378,8/31/2015 20:12,Market at Sansome,77,8/31/2015 20:18,Broadway St at Battery St,82.0,282.0,Subscriber,94111
46,913372,523,8/31/2015 20:10,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 20:18,Harry Bridges Plaza (Ferry Building),50.0,625.0,Subscriber,94107
47,913371,663,8/31/2015 20:10,Townsend at 7th,65,8/31/2015 20:21,Spear at Folsom,49.0,405.0,Subscriber,94103
48,913368,888,8/31/2015 20:09,Commercial at Montgomery,45,8/31/2015 20:24,San Francisco City Hall,58.0,598.0,Subscriber,94102
49,913367,842,8/31/2015 20:08,San Francisco Caltrain (Townsend at 4th),70,8/31/2015 20:22,Spear at Folsom,49.0,652.0,Customer,94105
50,913364,444,8/31/2015 20:06,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 20:14,Powell Street BART,39.0,134.0,Subscriber,94105
51,913363,489,8/31/2015 20:06,Howard at 2nd,63,8/31/2015 20:14,San Francisco Caltrain 2 (330 Townsend),69.0,465.0,Subscriber,94070
52,913361,236,8/31/2015 20:05,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 20:09,Townsend at 7th,65.0,270.0,Subscriber,94107
53,913356,217,8/31/2015 20:03,Market at Sansome,77,8/31/2015 20:07,Clay at Battery,41.0,505.0,Subscriber,94301
54,913353,577,8/31/2015 20:01,Yerba Buena Center of the Arts (3rd @ Howard),68,8/31/2015 20:11,2nd at Townsend,61.0,66.0,Customer,43214
55,913351,290,8/31/2015 20:01,Howard at 2nd,63,8/31/2015 20:06,Market at 4th,76.0,401.0,Subscriber,94107
56,913349,559,8/31/2015 20:00,Harry Bridges Plaza (Ferry Building),50,8/31/2015 20:09,2nd at Townsend,61.0,587.0,Subscriber,94107
57,913348,609,8/31/2015 19:59,Yerba Buena Center of the Arts (3rd @ Howard),68,8/31/2015 20:09,Market at 10th,67.0,877.0,Subscriber,94102
58,913346,466,8/31/2015 19:58,Market at 4th,76,8/31/2015 20:06,San Francisco Caltrain 2 (330 Townsend),69.0,450.0,Subscriber,94107
59,913345,482,8/31/2015 19:58,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 20:06,Powell Street BART,39.0,425.0,Subscriber,94107
60,913344,326,8/31/2015 19:55,Spear at Folsom,49,8/31/2015 20:01,Davis at Jackson,42.0,672.0,Subscriber,94111
61,913343,426,8/31/2015 19:51,5th at Howard,57,8/31/2015 19:58,Townsend at 7th,65.0,457.0,Subscriber,94107
62,913342,471,8/31/2015 19:49,South Van Ness at Market,66,8/31/2015 19:57,Market at 4th,76.0,450.0,Subscriber,94108
63,913341,368,8/31/2015 19:49,Post at Kearny,47,8/31/2015 19:55,5th at Howard,57.0,214.0,Subscriber,94107
64,913340,616,8/31/2015 19:48,2nd at Townsend,61,8/31/2015 19:58,Steuart at Market,74.0,354.0,Subscriber,94609
65,913338,403,8/31/2015 19:47,2nd at Townsend,61,8/31/2015 19:54,Market at Sansome,77.0,364.0,Subscriber,94708
66,913337,384,8/31/2015 19:47,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 19:54,2nd at South Park,64.0,277.0,Subscriber,94107
67,913335,472,8/31/2015 19:47,Market at 4th,76,8/31/2015 19:55,San Francisco Caltrain 2 (330 Townsend),69.0,287.0,Subscriber,94107
